title,subtitle,author,narrator,series,length,release_date,language,ratings
The Cabinet of Dr. Leng,Not Found,"By: Douglas Preston, Lincoln Child",Narrated by: Jefferson Mays,"Series: Agent Pendergast Series, Book 21",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Inmate,Not Found,By: Freida McFadden,Narrated by: Leslie Howard,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Answer to Anxiety,How to Break Free from the Tyranny of Anxious Thoughts and Worry,By: Joyce Meyer,Narrated by: Jodi Carlisle,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Walk the Blue Line,"No Right, No Left—Just Cops Telling Their True Stories to James Patterson.","By: James Patterson, Matt Eversmann, Chris Mooney","Narrated by: Corey Carthew, Cody Roberts, Melissa Matthews, Inés del Castillo, Robb Moreira, Ori Bitter",Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
The Lost Hero,Not Found,By: Rick Riordan,"Narrated by: Sean Welsh Brown, Rainy Fields, Avi Roque","Series: Heroes Of Olympus, Book 1",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
It's OK to Be Angry About Capitalism,Not Found,"By: Senator Bernie Sanders, John Nichols",Narrated by: Senator Bernie Sanders,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Brain Energy,"A Revolutionary Breakthrough in Understanding Mental Health—and Improving Treatment for Anxiety, Depression, OCD, PTSD, and More",By: Christopher M. Palmer MD,Narrated by: Christopher M. Palmer MD,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Savage Bonds,"The Bonds That Tie, Book 2",By: J Bree,"Narrated by: Kasi Hollowell, Wen Ross","Series: The Bonds That Tie, Book 2",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Nobody Wants Your Sh*t,The Art of Decluttering Before You Die,By: Messie Condo,Narrated by: Hillary Huber,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
The Whole-Brain Child,12 Revolutionary Strategies to Nurture Your Child's Developing Mind,"By: Daniel J. Siegel, Tina Payne Bryson","Narrated by: Daniel J. Siegel, Tina Payne Bryson",Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Unnatural History,An Alex Delaware Novel,By: Jonathan Kellerman,Narrated by: John Rubinstein,"Series: Alex Delaware, Book 38",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Unraveling Destiny,"The Fae Chronicles, Book 5",By: Amelia Hutchins,Narrated by: Sarah Puckett,"Series: The Fae Chronicles, Book 5",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Codependent No More,How to Stop Controlling Others and Start Caring for Yourself,By: Melody Beattie,Narrated by: Melody Beattie,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Something More Substantial,Not Found,By: Jann Rowland,Narrated by: Mary Sarah,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Firefly: Coup de Grâce,"The Firefly Series, Book 8",By: Una McCormack,Not Found,"Series: Firefly Series, Book 8",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Just Friends,Not Found,By: Jennifer Sucevic,"Narrated by: Michael Gallagher, Jennifer Blom",Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
The Family Jewels,"The Dublin Trilogy, Book 7",By: Caimh McDonnell,Narrated by: Morgan C. Jones,"Series: The Dublin Trilogy, Book 7",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Greenblood,"My Best Friend Is an Eldritch Horror, Book 2",By: Actus,Narrated by: Peter Berkrot,"Series: My Best Friend is an Eldritch Horror, Book 2",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Dungeons & Dragons: Honor Among Thieves: The Road to Neverwinter,Not Found,By: Jaleigh Johnson,Narrated by: Fred Berman,Series: Dungeons & Dragons: Honor Among Thieves,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
The Last Kingdom,Not Found,By: Steve Berry,Narrated by: Scott Brick,"Series: Cotton Malone, Book 17",Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Good Power,"Leading Positive Change in Our Lives, Work, and World",By: Ginni Rometty,Narrated by: Ginni Rometty,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
Learn How to Lead to Win,33 Powerful Stories and Leadership Lessons,By: Mike Manazir,Narrated by: Michael C. Manazir,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
The Water Is Wide,Not Found,By: Pat Conroy,Narrated by: Jeremy Arthur,Not Found,Length: 8 hrs and 17 mins,Release date: 02-06-23,Language: English,4.5 out of 5 stars
The Phoenix Prophecy: Nova,Not Found,By: Cara Clare,"Narrated by: Lily Drake, Walker Williams, Scott Rose, Oliver Highpoint, Michael Corbin","Series: The Phoenix Prophecy, Book 1",Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
The Origins of You,How Breaking Family Patterns Can Liberate the Way We Live and Love,By: Vienna Pharaon,Narrated by: Vienna Pharaon,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
The Butcher and the Wren,A Novel,By: Alaina Urquhart,"Narrated by: Sophie Amoss, Joe Knezevich",Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Shadow City: Demon Wolf (Complete Series),Not Found,"By: Jen L. Grey, Shadow City",Narrated by: Marnye Young,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Dark Matter,A Novel,By: Blake Crouch,Narrated by: Jon Lindstrom,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
The Intelligent Investor Rev Ed.,Not Found,By: Benjamin Graham,Narrated by: Luke Daniels,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
The Witching Hour,Not Found,By: Anne Rice,Narrated by: Kate Reading,"Series: Lives of the Mayfair Witches, Book 1",Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Spy Secrets That Can Save Your Life,A Former CIA Officer Reveals Safety and Survival Techniques to Keep You and Your Family Protected,By: Jason Hanson,Narrated by: Jason Hanson,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
American Sniper,The Autobiography of the Most Lethal Sniper in U.S. Military History,"By: Chris Kyle, Scott McEwan, Jim DeFelice",Narrated by: John Pruden,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Start with Why,How Great Leaders Inspire Everyone to Take Action,By: Simon Sinek,Narrated by: Simon Sinek,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
The Great Gatsby,Not Found,By: F. Scott Fitzgerald,Narrated by: Jake Gyllenhaal,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
A Short History of Nearly Everything,Not Found,By: Bill Bryson,Narrated by: Richard Matthews,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Not Found,By: Timothy Ferriss,Narrated by: Ray Porter,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
A Gentleman in Moscow,A Novel,By: Amor Towles,Narrated by: Nicholas Guy Smith,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Empire of the Summer Moon,"Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",By: S. C. Gwynne,Narrated by: David Drummond,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
As a Man Thinketh,Not Found,By: James Allen,Narrated by: Brian Holsopple,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Fahrenheit 451,Not Found,By: Ray Bradbury,Narrated by: Tim Robbins,Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Outwitting the Devil,Not Found,"By: Napoleon Hill, Sharon L. Lechter - editor","Narrated by: Dan John Miller, Phil Gigante",Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Eragon,"Inheritance, Book 1",By: Christopher Paolini,Narrated by: Gerard Doyle,"Series: Inheritance Cycle, Book 1",Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Never Finished,Unshackle Your Mind and Win the War Within,By: David Goggins,"Narrated by: David Goggins, Adam Skolnick, Jacqueline Gardner",Not Found,Length: 7 hrs and 3 mins,Release date: 01-10-23,Language: English,4.5 out of 5 stars
Edin,"Monstrous, Book 2",By: Lily Mayne,Narrated by: Michael Lesley,"Series: Monstrous, Book 2",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Dragon's Mage,"Dragon's Envoy, Book 2","By: James Haddock, Gus James","Narrated by: Daniel Wisniewski, Elizabeth Plant","Series: Dragon's Envoy, Book 2",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Maid's Diary,A Novel,By: Loreth Anne White,Narrated by: Jane Oppenheimer,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Essays of Warren Buffett,"Lessons for Corporate America, Fifth Edition","By: Lawrence A. Cunningham, Warren E. Buffett",Narrated by: Brennen Blotner,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Think and Grow Rich,Not Found,By: Napoleon Hill,Narrated by: Erik Synnestvedt,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Dune,Not Found,By: Frank Herbert,"Narrated by: Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers","Series: Dune Saga, Book 12, Dune, Book 1",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Princess Diarist,Not Found,By: Carrie Fisher,"Narrated by: Carrie Fisher, Billie Lourd",Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Pentagon's Brain,"An Uncensored History of DARPA, America's Top-Secret Military Research Agency",By: Annie Jacobsen,Narrated by: Annie Jacobsen,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
We Are Legion (We Are Bob),"Bobiverse, Book 1",By: Dennis E. Taylor,Narrated by: Ray Porter,"Series: Bobiverse, Book 1",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Focus,The Hidden Driver of Excellence,By: Daniel Goleman,Narrated by: Daniel Goleman,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Total Money Makeover,A Proven Plan for Financial Fitness,By: Dave Ramsey,Narrated by: Dave Ramsey,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Ready Player One,Not Found,By: Ernest Cline,Narrated by: Wil Wheaton,"Series: Ready Player One, Book 1",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Seabreeze Reunion,"Summer Beach, Book 8",By: Jan Moran,Narrated by: Erin Bennett,"Series: Summer Beach, Book 8",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Need to Be Whole,Not Found,By: Wendell Berry,Narrated by: Nick Offerman,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
Archer's Voice,Not Found,By: Mia Sheridan,"Narrated by: Kris Koscheski, Emily Durante","Series: Sign of Love, Book 4, Where Love Meets Destiny, Book 1",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Fine Print,"Dreamland Billionaires, Book 1",By: Lauren Asher,"Narrated by: Desiree Ketchum, Aiden Snow","Series: Dreamland Billionaires, Book 1",Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Magic of Thinking Big,Not Found,By: David Schwartz,Narrated by: Jason Culp,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
How Not to Die,Discover the Foods Scientifically Proven to Prevent and Reverse Disease,"By: Michael Greger MD, Gene Stone",Narrated by: Michael Greger MD,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Simple Path to Wealth,"Your Road Map to Financial Independence and a Rich, Free Life",By: JL Collins,"Narrated by: JL Collins, Peter Adeney",Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
The Devil in the White City,"Murder, Magic, and Madness at the Fair That Changed America",By: Erik Larson,Narrated by: Scott Brick,Not Found,Length: 13 hrs and 17 mins,Release date: 03-07-23,Language: English,Not rated yet
One Second After,Not Found,By: William R. Forstchen,Narrated by: Joe Barrett,"Series: A John Matherson Novel, Book 1",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Down the Rabbit Hole,Curious Adventures and Cautionary Tales of a Former Playboy Bunny,By: Holly Madison,Narrated by: Holly Madison,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Mastery,Not Found,By: Robert Greene,Narrated by: Fred Sanders,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Salt Sugar Fat,How the Food Giants Hooked Us,By: Michael Moss,Narrated by: Scott Brick,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Outliers,The Story of Success,By: Malcolm Gladwell,Narrated by: Malcolm Gladwell,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Billions & Billions,Thoughts on Life and Death at the Brink of the Millennium,By: Carl Sagan,"Narrated by: Adenrele Ojo, Ann Druyan",Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
The 5 Second Rule,"Transform your Life, Work, and Confidence with Everyday Courage",By: Mel Robbins,Narrated by: Mel Robbins,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
A Feast for Crows,"A Song of Ice and Fire, Book 4",By: George R.R. Martin,Narrated by: Roy Dotrice,"Series: A Song of Ice and Fire, Book 4",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
First Comes Blood,"Promised in Blood, Book 1",By: Lilith Vincent,"Narrated by: Maeve York, Walker Williams","Series: Promised in Blood Series, Book 1",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Haunting Adeline,"Cat and Mouse Duet, Book 1",By: H. D. Carlton,"Narrated by: Teddy Hamilton, Michelle Sparks","Series: Cat and Mouse Duet, Book 1",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
The Urgent Life,"My Story of Love, Loss, and Survival",By: Bozoma Saint John,Narrated by: Bozoma Saint John,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Unscripted,The Epic Battle for a Media Empire and the Redstone Family Legacy,"By: James B. Stewart, Rachel Abrams",Narrated by: Robert Petkoff,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Destiny of a Prince,"The Silvan, Book 6",By: R.K. Lander,Narrated by: Daniel Thomas May,"Series: The Silvan Series, Book 6",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
The Empire,"Infinite Realm, Book 4",By: Ivan Kal,Narrated by: Phil Thron,"Series: Infinite Realm Series, Book 4",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
The Power to Change,Mastering the Habits That Matter Most,By: Craig Groeschel,Narrated by: Craig Groeschel,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
The Emotional Lives of Teenagers,"Raising Connected, Capable, and Compassionate Adolescents",By: Lisa Damour Ph.D.,Narrated by: Lisa Damour Ph.D.,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Principles,Life and Work,By: Ray Dalio,"Narrated by: Ray Dalio, Jeremy Bobb",Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
From Sand and Ash,Not Found,By: Amy Harmon,Narrated by: Cassandra Campbell,Not Found,Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Candy Bomb,"Starship for Sale, Book 4",By: M.R. Forbes,Narrated by: Dave Jackson,"Series: Starship for Sale, Book 4",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Monroe Doctrine: Volume VI,"Monroe Doctrine, Book 6","By: James Rosone, Miranda Watson",Narrated by: Marc Vietor,"Series: Monroe Doctrine, Book 6",Length: 13 hrs and 17 mins,Release date: 03-17-09,Language: English,4.5 out of 5 stars
Unscripted,The Epic Battle for a Media Empire and the Redstone Family Legacy,"By: James B. Stewart, Rachel Abrams",Narrated by: Robert Petkoff,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Destiny of a Prince,"The Silvan, Book 6",By: R.K. Lander,Narrated by: Daniel Thomas May,"Series: The Silvan Series, Book 6",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Longest Silence,A Life in FIshing,By: Thomas McGuane,Narrated by: L.J. Ganser,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Empire,"Infinite Realm, Book 4",By: Ivan Kal,Narrated by: Phil Thron,"Series: Infinite Realm Series, Book 4",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Power to Change,Mastering the Habits That Matter Most,By: Craig Groeschel,Narrated by: Craig Groeschel,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Emotional Lives of Teenagers,"Raising Connected, Capable, and Compassionate Adolescents",By: Lisa Damour Ph.D.,Narrated by: Lisa Damour Ph.D.,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Principles,Life and Work,By: Ray Dalio,"Narrated by: Ray Dalio, Jeremy Bobb",Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
From Sand and Ash,Not Found,By: Amy Harmon,Narrated by: Cassandra Campbell,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Monroe Doctrine: Volume VI,"Monroe Doctrine, Book 6","By: James Rosone, Miranda Watson",Narrated by: Marc Vietor,"Series: Monroe Doctrine, Book 6",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
System Reborn Vol 1 & 2,A LitRPG Adventure,By: Kaz Hunter,Narrated by: Adam Stubbs,"Series: Apocalypse Reincarnation, Book 1-2",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Being Transfigured,Lenten Homilies,By: Chris Green,Narrated by: Boyd Barrett,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
A Snake's Rule,"A Snake's Life, Book 4",By: Kenneth Arant,Narrated by: B.J. Harrison,"Series: A Snake's Life, Book 4",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
First Ritual: Supernatural Battle,"Coven Caves, Book 1",By: Kelly St Clare,Narrated by: Amanda Dolan,"Series: Coven Caves, Book 1",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Confederacy of Fear,"Blue Dawn, Book 3",By: Blaine Pardoe,Narrated by: Edward Thornton,"Series: Blue Dawn, Book 3",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
I'm Riding with You Forever,Not Found,By: Jahquel J.,"Narrated by: Lacy Laurel, Winston James",Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Vicious Bonds,"The Tether Series, Book 1",By: Shanora Williams,"Narrated by: Shane East, Aure Nash","Series: The Tether Series, Book 1",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Simply Lies,Not Found,By: David Baldacci,"Narrated by: Lisa Flanagan, Corey Carthew",Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Dark Angel,Not Found,By: John Sandford,Narrated by: Robert Petkoff,"Series: Letty Davenport, Book 2",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
A Village Fete Murder,"Julia Bird Mysteries, Book 3",By: Katie Gayle,Narrated by: Lucy Scott,"Series: Julia Bird Mysteries, Book 3",Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Aleister Crowley Manual,Thelemic Magick for Modern Times,By: Marco Visconti,Narrated by: Robbie Stevens,Not Found,Length: 12 hrs and 23 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
A Tournament of Crowns,"A Trial of Sorcerers, Book 3",By: Elise Kova,Narrated by: Vanessa Moyen,"Series: Trial of Sorcerers, Book 3",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
The Dragon Twins: The Complete Series,Dark World: The Dragon Twins,By: Michelle Madow,Narrated by: Patricia Santomasso,"Series: Dark World: The Dragon Twins, Book 1-4",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Game of Hate and Lies,"The Broken Kingdoms, Book 5",By: LJ Andrews,"Narrated by: Stina Nielsen, Tim Campbell","Series: The Broken Kingdoms, Book 5",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
The House at the End of the World,Not Found,By: Dean Koontz,Narrated by: Natalie Naudus,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
For Her Consideration,Not Found,By: Amy Spalding,Narrated by: Sophie Amoss,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Cat's Chance in Hell,"Charm City Chronicles, Book 2",By: Meghan Maslow,Narrated by: Greg Boudreaux,"Series: Charm City Chronicles, Book 2",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Scattered Minds,The Origins and Healing of Attention Deficit Disorder,By: Gabor Maté MD,Narrated by: Daniel Maté,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
The Lords of Discipline,Not Found,By: Pat Conroy,Narrated by: Roger Wayne,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Sinful Crown,Not Found,By: Ava Harrison,"Narrated by: Jacob Morgan, Stella Hunter",Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
What You Want Wants You,Not Found,By: Suzanne Eder,Narrated by: Suzanne Eder,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
What Lies in the Woods,A Novel,By: Kate Alice Marshall,Narrated by: Karissa Vacker,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Stick Shift,"Big Bull Mechanics, Book 3",By: K.M. Neuhold,"Narrated by: Tim Paige, Liam DiCosimo","Series: Big Bull Mechanics, Book 3",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Harper,"The K9 Files, Book 19",By: Dale Mayer,Narrated by: Tristan Wright,"Series: The K9 Files, Book 19",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Draw the Circle,The 40 Day Prayer Challenge,By: Mark Batterson,Narrated by: Mark Batterson,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
The Big Picture,"On the Origins of Life, Meaning, and the Universe Itself",By: Sean Carroll,Narrated by: Sean Carroll,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
The Smartest Guys in the Room,The Amazing Rise and Scandalous Fall of Enron,By: Bethany McLean,Narrated by: Dennis Boutsikaris,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Stories of Your Life and Others,Not Found,By: Ted Chiang,"Narrated by: Abby Craden, Todd McLaren",Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Five Presidents,"My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford","By: Clint Hill, Lisa McCubbin Hill",Narrated by: George Newbern,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Red Mars,Not Found,By: Kim Stanley Robinson,Narrated by: Richard Ferrone,"Series: Mars Trilogy, Book 1",Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
Will I Ever Be Good Enough?,Healing the Daughters of Narcissistic Mothers,By: Karyl McBride,Narrated by: Karyl McBride,Not Found,Length: 11 hrs and 49 mins,Release date: 02-24-23,Language: English,5 out of 5 stars
The Girl Who Kicked the Hornet's Nest,A Lisbeth Salander Novel,"By: Stieg Larsson, Reg Keeland - translator",Narrated by: Simon Vance,"Series: Millennium Series, Book 3",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
The Happiness Project,Not Found,By: Gretchen Rubin,Narrated by: Gretchen Rubin,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Godly Wars,"Prof Croft, Book 11",By: Brad Magnarella,Narrated by: James Patrick Cronin,"Series: Prof. Croft, Book 11",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
The Oz Principle,Getting Results Through Individual and Organizational Accountability,"By: Roger Connors, Tom Smith, Craig Hickman",Narrated by: Wayne Shepherd,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
People vs. Donald Trump,An Inside Account,By: Mark Pomerantz,Narrated by: Mark Pomerantz,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
"A sus órdenes, mi general [At Your Command, My General]",El caso Cienfuegos y la sumisión de AMLO ante el poder militar [The Cienfuegos Case and AMLO’s Submission to Military Power],By: J. Jesús Esquivel,Narrated by: René García,Not Found,Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
Twisted,The Never After Series,By: Emily McIntire,"Narrated by: Sandi Hunts, Marcio Catalano","Series: The Never After Series, Book 4",Length: 20 hrs and 17 mins,Release date: 05-25-10,Language: English,4.5 out of 5 stars
